Dog_breed,category,Popularity,Lifetime_Cost,INTELLIGENCE_ranking,Average_Lifetime,Genetic_Issues,Average_Price,Food_Cost_Per_Year,Suitability_for_Children,size_category,intelligence_category,Lifetime_Cost_GBP,Average_Purchase_Price,price_bracket,lowest_cost,highest_cost,Food_cost_per_week,Food_cost_per_year,Food_Cost_Lifetime
Maltese,toy,23,"$19,084 ",59,12.25,1,$650 ,$270 ,High,small,Fair,"16,073",650,budget,300,1000,4,197,"2,410"
Pomeranian,toy,17,"$15,792 ",23,9.67,1,$670 ,$324 ,Medium,small,Excellent,"13,677",670,budget,200,1500,5.34,278,"2,693"
Shih Tzu,toy,11,"$21,152 ",70,13.2,1,$583 ,$324 ,Low,small,Lowest,"18,264",583,budget,275,1200,5.34,278,"3,675"
Australian Shepherd,herding,24,"$21,458 ",42,12.28,2,$565 ,$466 ,Medium,medium,Average,"18,524",565,budget,250,1000,7.67,400,"4,915"
Yorkshire Terrier,toy,5,"$20,701 ",27,12.6,4,"$1,057 ",$324 ,High,small,Above average,"17,944","1,057",mid-price,275,2800,5.34,278,"3,508"
Irish Setter,sporting,70,"$20,323 ",35,11.63,2,$525 ,$466 ,Low,large,Above average,"17,544",525,budget,300,1000,7.67,400,"4,655"
Pharaoh Hound,hound,151,"$21,047 ",37,11.83,0,$913 ,$466 ,Medium,medium,Above average,"18,221",913,mid-price,475,1000,7.67,400,"4,735"
Brussels Griffon,toy,77,"$19,551 ",59,12,0,$833 ,$324 ,High,small,Fair,"16,925",833,mid-price,500,1500,5.34,278,"3,341"
Golden Retriever,sporting,4,"$21,447 ",4,12.04,4,$958 ,$466 ,Low,medium,Brightest,"18,571",958,mid-price,325,2500,7.67,400,"4,819"
Samoyed,working,69,"$25,352 ",33,12.44,1,"$1,162 ",$710 ,Low,medium,Above average,"21,951","1,162",mid-price,795,1400,11.67,609,"7,577"
Beagle,hound,3,"$19,468 ",73,12.3,1,$288 ,$324 ,Low,small,Lowest,"16,777",288,budget,100,600,5.34,278,"3,425"
Chesapeake Bay Retriever,sporting,46,"$16,697 ",27,9.48,1,$522 ,$466 ,Low,large,Above average,"14,432",522,budget,175,795,7.67,400,"3,794"
Tibetan Terrier,non-sporting,86,"$20,336 ",62,12.31,0,"$1,140 ",$324 ,Medium,small,Fair,"17,643","1,140",mid-price,450,1600,5.34,278,"3,428"
Gordon Setter,sporting,94,"$19,605 ",34,11.1,1,$700 ,$466 ,Low,large,Above average,"16,953",700,mid-price,500,100,7.67,400,"4,443"
English Setter,sporting,87,"$20,312 ",37,11.57,2,$615 ,$466 ,Low,large,Above average,"17,548",615,budget,250,1000,7.67,400,"4,631"
Pug,toy,26,"$18,527 ",57,11,1,$469 ,$405 ,Low,medium,Fair,"15,421",469,budget,250,699,6,295,"3,246"
Briard,herding,125,"$19,673 ",30,11.17,1,$650 ,$466 ,Low,large,Above average,"17,004",650,budget,500,800,7.67,400,"4,471"
Norfolk Terrier,terrier,120,"$24,308 ",56,13.07,0,"$2,083 ",$466 ,Medium,small,Fair,"21,185","2,083",high-end,250,2500,7.67,400,"5,231"
Flat-Coated Retriever,sporting,90,"$16,000 ",18,9.02,0,$600 ,$466 ,Low,medium,Excellent,"13,845",600,budget,300,1200,7.67,400,"3,610"
Boston Terrier,non-sporting,22,"$17,741 ",54,10.92,1,$690 ,$324 ,Low,medium,Average,"15,352",690,budget,400,1050,5.34,278,"3,041"
Doberman Pinscher,working,13,"$18,397 ",5,10.33,4,$790 ,$466 ,Medium,large,Brightest,"15,929",790,mid-price,300,1200,7.67,400,"4,135"
English Toy Spaniel,toy,129,"$17,521 ",45,10.1,0,$925 ,$405 ,Medium,small,Average,"14,670",925,mid-price,150,1500,6,295,"2,981"
Belgian Tervuren,herding,108,"$19,132 ",14,10.6,2,"$1,070 ",$466 ,Low,large,Excellent,"16,600","1,070",mid-price,850,1200,7.67,400,"4,243"
Cavalier King Charles Spaniel,toy,21,"$18,639 ",44,11.29,2,"$1,017 ",$324 ,Low,small,Average,"16,169","1,017",mid-price,100,1800,5.34,278,"3,144"
Dalmatian,non-sporting,73,"$19,886 ",39,11.27,2,$695 ,$466 ,Low,medium,Above average,"17,194",695,budget,350,1000,7.67,400,"4,511"
Basset Hound,hound,41,"$18,328 ",71,11.43,2,$490 ,$324 ,Low,small,Lowest,"15,827",490,budget,150,1000,5.34,278,"3,183"
Basenji,hound,93,"$22,096 ",79,13.58,3,$940 ,$324 ,Medium,medium,Lowest,"19,125",940,mid-price,600,1200,5.34,278,"3,781"
Italian Greyhound,toy,65,"$16,463 ",60,10.02,0,$800 ,$324 ,High,small,Fair,"14,270",800,mid-price,500,120,5.34,278,"2,790"
Staffordshire Bull Terrier,terrier,76,"$21,650 ",49,12.05,1,"$1,145 ",$466 ,Low,medium,Average,"18,772","1,145",mid-price,500,1500,7.67,400,"4,823"
Bouvier des Flandres,herding,83,"$18,959 ",29,10.34,1,"$1,335 ",$466 ,Low,large,Above average,"16,489","1,335",mid-price,800,2500,7.67,400,"4,139"
Pembroke Welsh Corgi,herding,25,"$23,978 ",11,12.25,9,$587 ,$674 ,Low,small,Excellent,"19,625",587,budget,375,750,9,492,"6,026"
Clumber Spaniel,sporting,133,"$18,084 ",37,10,0,"$1,033 ",$466 ,Low,medium,Above average,"15,695","1,033",mid-price,800,1500,7.67,400,"4,003"
Dandie Dinmont Terrier,terrier,160,"$21,633 ",62,12.17,0,$925 ,$466 ,Low,small,Fair,"18,725",925,mid-price,850,1000,7.67,400,"4,871"
Saluki,hound,117,"$24,866 ",43,12,0,"$1,525 ",$710 ,Low,medium,Average,"21,585","1,525",high-end,1000,1800,11.67,609,"7,309"
Giant Schnauzer,working,95,"$26,686 ",28,10,1,$810 ,"$1,349 ",Medium,large,Above average,"21,307",810,mid-price,400,1500,19,984,"9,838"
Greyhound,hound,140,"$15,819 ",46,9.36,1,"$1,175 ",$324 ,Low,large,Average,"13,771","1,175",mid-price,200,2500,5.34,278,"2,606"
Scottish Terrier,terrier,54,"$17,525 ",65,10.69,1,$829 ,$324 ,Medium,small,Fair,"15,187",829,mid-price,400,2200,5.34,278,"2,977"
Rottweiler,working,10,"$18,886 ",9,9.11,3,"$1,118 ",$710 ,Medium,large,Brightest,"16,395","1,118",mid-price,300,1800,11.67,609,"5,549"
Kerry Blue Terrier,terrier,124,"$17,240 ",35,9.4,1,"$1,200 ",$466 ,Medium,medium,Above average,"14,994","1,200",mid-price,900,1500,7.67,400,"3,762"
Afghan Hound,hound,88,"$24,077 ",80,11.92,0,$890 ,$710 ,Low,large,Lowest,"20,818",890,mid-price,450,1000,11.67,609,"7,260"
Newfoundland,working,43,"$19,351 ",34,9.32,2,"$1,178 ",$710 ,Low,large,Above average,"16,802","1,178",mid-price,500,2000,11.67,609,"5,677"
German Shepherd,herding,2,"$17,416 ",3,9.73,8,$820 ,$466 ,Medium,large,Brightest,"15,091",820,mid-price,400,1495,7.67,400,"3,895"
Pekingese,toy,64,"$20,565 ",74,11.56,1,$885 ,$466 ,Medium,small,Lowest,"17,803",885,mid-price,200,3800,7.67,400,"4,627"
Old English Sheepdog,herding,84,"$22,611 ",63,11.19,1,$832 ,$710 ,Low,medium,Fair,"19,551",832,mid-price,500,1000,11.67,609,"6,816"
Akita,working,47,"$20,994 ",54,10.16,1,"$1,202 ",$710 ,High,large,Average,"18,217","1,202",mid-price,565,1800,11.67,609,"6,188"
Rhodesian Ridgeback,hound,44,"$16,530 ",52,9.1,2,$995 ,$466 ,Medium,large,Average,"14,355",995,mid-price,750,1300,7.67,400,"3,642"
French Bulldog,non-sporting,18,"$17,266 ",58,9,0,"$1,900 ",$466 ,Low,medium,Fair,"15,116","1,900",high-end,1300,3500,7.67,400,"3,602"
Borzoi,hound,102,"$16,176 ",76,9.08,0,$675 ,$466 ,Medium,large,Lowest,"14,007",675,budget,300,1250,7.67,400,"3,634"
Bernese Mountain Dog,working,34,"$16,099 ",22,7.56,4,"$1,320 ",$710 ,Low,large,Excellent,"14,032","1,320",mid-price,750,2500,11.67,609,"4,605"
Bull Terrier,terrier,51,"$18,490 ",66,10.21,2,"$1,085 ",$466 ,Medium,medium,Fair,"16,051","1,085",mid-price,300,1750,7.67,400,"4,087"
Boxer,working,7,"$15,746 ",48,8.81,4,$700 ,$466 ,Low,medium,Average,"13,641",700,mid-price,300,2500,7.67,400,"3,526"
Alaskan Malamute,working,58,"$21,986 ",50,10.67,2,"$1,210 ",$710 ,Medium,large,Average,"19,069","1,210",mid-price,550,2350,11.67,609,"6,499"
Chow Chow,non-sporting,68,"$15,898 ",77,9.01,2,$515 ,$466 ,Medium,medium,Lowest,"13,745",515,budget,200,750,7.67,400,"3,606"
Bloodhound,hound,48,"$13,824 ",75,6.75,2,$608 ,$710 ,Medium,large,Lowest,"11,979",608,budget,200,1000,11.67,609,"4,111"
Irish Wolfhound,hound,79,"$18,435 ",41,6.94,3,"$1,333 ","$1,217 ",Low,large,Average,"16,039","1,333",mid-price,800,1550,20.01,"1,044","7,246"
Bullmastiff,working,40,"$13,936 ",69,7.57,2,$980 ,$466 ,Low,large,Fair,"12,128",980,mid-price,600,1600,7.67,400,"3,030"
Mastiff,working,28,"$13,581 ",72,6.5,2,$900 ,$701 ,Low,large,Lowest,"11,224",900,mid-price,150,1200,10,512,"3,325"
Great Dane,working,19,"$14,662 ",48,6.96,4,"$1,040 ",$710 ,Low,large,Average,"12,759","1,040",mid-price,500,2500,11.67,609,"4,239"
Saint Bernard,working,49,"$20,022 ",65,7.78,3,$875 ,"$1,217 ",Low,large,Fair,"17,336",875,mid-price,450,1500,20.01,"1,044","8,124"
Bulldog,non-sporting,6,"$13,479 ",78,6.29,5,"$2,680 ",$466 ,Medium,medium,Lowest,"11,977","2,680",high-end,1500,5500,7.67,400,"2,518"
Airedale Terrier,terrier,55,no data,29,11.45,1,$733 ,,Low,medium,Above average,no data,733,mid-price,475,1200,no data,,no data
American English Coonhound,hound,33,no data,no data,11.5,no data,$283 ,,Low,large,no data,no data,283,budget,100,350,no data,,no data
American Eskimo Dog,non-sporting,116,no data,no data,no data,0,$560 ,,Low,small,no data,no data,560,budget,300,950,no data,,no data
American Foxhound,hound,173,no data,46,no data,no data,$757 ,,Low,medium,Average,no data,757,mid-price,250,1000,no data,,no data
American Staffordshire Terrier,terrier,72,no data,34,no data,1,"$1,043 ",,Low,medium,Above average,no data,"1,043",mid-price,250,1500,no data,,no data
American Water Spaniel,sporting,157,no data,44,no data,0,$730 ,,Low,medium,Average,no data,730,mid-price,600,1250,no data,,no data
Anatolian Shepherd Dog,working,111,no data,no data,10.75,no data,no data,,Medium,large,no data,no data,no data,no data,no data,no data,11.67,,"6,548"
Bearded Collie,herding,112,no data,34,12.77,0,no data,,Low,medium,Above average,no data,no data,no data,no data,no data,7.67,,"5,111"
Beauceron,herding,144,no data,no data,no data,no data,$967 ,,Low,large,no data,no data,967,mid-price,950,"1,000",no data,,no data
Belgian Malinois,herding,74,no data,22,no data,0,"$1,080 ",,Low,large,Excellent,no data,"1,080",mid-price,550,2000,7.67,,no data
Belgian Sheepdog,herding,118,no data,15,no data,4,no data,,Low,large,Excellent,no data,no data,no data,no data,no data,no data,,no data
Black and Tan Coonhound,hound,109,no data,44,no data,0,$325 ,,Low,large,Average,no data,325,budget,200,500,no data,,no data
Black Russian Terrier,working,128,no data,no data,1.83 - really?,0,"$2,833 ",,Low,large,no data,no data,"2,833",high-end,2500,3000,no data,,no data
Bluetick Coonhound,hound,136,no data,no data,no data,0,$370 ,,Low,large,no data,no data,370,budget,200,500,no data,,no data
Boykin Spaniel,sporting,138,no data,no data,no data,no data,$531 ,,Low,medium,no data,no data,531,budget,200,800,no data,,no data
Canaan Dog,herding,168,no data,no data,14.67,0,no data,,Low,medium,no data,no data,no data,no data,no data,no data,7.67,,"5,872"
Cane Corso,working,67,no data,no data,no data,no data,"$1,070 ",,Low,large,no data,no data,"1,070",mid-price,900,1500,no data,,no data
Cardigan Welsh Corgi,herding,81,no data,26,12.7,0,$828 ,,Low,small,Excellent,no data,828,mid-price,395,1085,no data,,no data
Cesky Terrier,terrier,106,no data,no data,8.42,no data,no data,,Low,small,no data,no data,no data,no data,no data,no data,7.67,,"3,370"
Chinese Crested,toy,61,no data,61,10.08,no data,$538 ,,Low,small,Fair,no data,538,budget,125,1300,no data,,no data
Chinese Shar Pei,non-sporting,50,no data,51,no data,4,$840 ,,Low,medium,Average,no data,840,mid-price,350,2000,no data,,no data
Collie,herding,36,no data,16,no data,2,$650 ,,Low,large,Excellent,no data,650,budget,350,950,no data,,no data
Curly Coated Retriever,sporting,154,no data,41,10.75,0,no data,,Medium,large,Average,no data,no data,no data,no data,no data,11.67,,"6,548"
English Foxhound,hound,171,no data,46,no data,0,no data,,Low,large,Average,no data,no data,no data,no data,no data,no data,,no data
Entlebucher Mountain Dog,herding,146,no data,no data,no data,no data,"$1,167 ",,Low,medium,no data,no data,"1,167",mid-price,"1,000","1,300",no data,,no data
Field Spaniel,sporting,141,no data,34,9.9,0,no data,,Medium,medium,Above average,no data,no data,no data,no data,no data,7.67,,"3,963"
Finnish Lapphund,herding,104,no data,no data,7.33,no data,no data,,Low,medium,no data,no data,no data,no data,no data,no data,7.67,,"2,934"
Finnish Spitz,non-sporting,167,no data,43,11.17,0,no data,,Low,medium,Average,no data,no data,no data,no data,no data,7.67,,"4,471"
German Pinscher,working,137,no data,no data,11.42,no data,"$1,500 ",,Low,medium,no data,no data,"1,500",high-end,1500,1500,no data,,no data
German Wirehaired Pointer,sporting,75,no data,44,10,1,$655 ,,Low,large,Average,no data,655,budget,600,800,no data,,no data
Glen of Imaal Terrier,terrier,158,no data,no data,10.42,no data,no data,,Low,small,no data,no data,no data,no data,no data,no data,no data,,no data
Great Pyrenees,working,71,no data,64,10,1,$503 ,,Low,large,Fair,no data,503,budget,225,800,no data,,no data
Greater Swiss Mountain Dog,working,82,no data,no data,6.8,1,"$1,605 ",,Low,large,no data,no data,"1,605",high-end,900,2500,no data,,no data
Harrier,hound,172,no data,no data,no data,0,no data,,Low,medium,no data,no data,no data,no data,no data,no data,no data,,no data
Havanese,toy,31,no data,no data,10.25,0,$830 ,,Low,small,no data,no data,830,mid-price,300,1500,no data,,no data
Ibizan Hound,hound,149,no data,53,no data,0,"$1,500 ",,Low,large,Average,no data,"1,500",high-end,1500,1500,7.67,,no data
Icelandic Sheepdog,herding,143,no data,no data,no data,no data,no data,,Low,medium,no data,no data,no data,no data,no data,no data,no data,,no data
